SubjectID	Sex	Ethnicity	Age	Raised	Nearest city	II.1	II.2	II.3	II.3a	II.3b	II.4	II.5	II.5a	II.6	II.7	III.1	III.2	III.3	III.4	III.5	III.6	III.7	III.8	III.9	III.10
161	m	white	21	NY	NY	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
162	m	white	19	Mercersburg,pA	Gettysburg	l	s	z (g,h)	Grinders are usually hot and hoagies have to contain deli meat	s	w	f		b	d	y	y	y	n	n	y	n	n	y	n
163	f	white	19	Stamford,cN	New York City	f	s	s		s	w	2	Frosting covers the entire cake and icing is only used for decorating	b	d	y	n	y	y	n	y	n	n	n	n
164	m	white	19	Charlotte, NC	Charlotte, NC	l	s	s		s	w	f		b	d	y	y	y	y	n	y	n	n	y	n
165	m 	white 	49	Bow, NH	Boston, MA	f	s	s		g	w	f		b	d	y	y	y	y	n	y	n	n	y	n
166	f	white	50	Norwood, NY	Montreal	l	s	s		s	w	f		b	d	y	y	n	y	n	y	n	n	y	n
167	m	white	16	Charlotte, NC	Charlotte, NC	f	s	s		s	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
168	f	white	18	Havertown,pA	Philadelphia,pA	l	s	h		h	w	2	no	b	d	n	n	y	y	n	n	n	n	n	n
169	m	asian	17	Charlotte, NC	Charlotte, NC	2	2 (s,f)	z (p)	Po'boy refers to seafood sandwiches	s	w	2	no	b	d	y	y	y	y	n	y	n	y	y	n
170	f	white	18	Bristow, VA and Charlotte, NC	Washington DC and Raleigh, NC	l	s	z (g)	Grinders are usually hot	s	w	2	Icing is thinner	b	d	y	y	y	n	n	y	n	n	y	n
171	m	asian	18	Manhattan, NY and Huntersville, NC	New York City and Charlotte, NC	f	s	s		s	d	2	no	b	d	y	y	y	y	n	y	n	n	y	n
172	f	asian	17	Charlotte, NC	Charlotte, NC	f	2 (s,f)	s		s	w	2	Icing is less decorative	b	d	y	y	y	y	n	y	n	n	y	n
173	m	asian indian	18	Charlotte, NC	Charlotte, NC	f	s	s		s	w	2	Frosting is usually related to cake	b	d	y	y	n	y	n	y	n	n	y	n
174	f	hispanic	17	St. Louis	St. Louis	f	p	s		s	w	2	no	b	2	y	y	n	y	n	y	n	n	y	n
175	m	white	19	Charlotte, NC	Charlotte, NC	l	s	s		s	w	i		b	s	n	y	y	y	n	n	n	n	y	n
176	f	white	17	Scarsdale, NY	New York City	f	s	s		s	w	2	no	2	d	y	y	y	y	n	n	n	n	y	n
177	f	white	20	Bedford, MA	Boston, MA	f	2 (s,f)	s		s	b	2	icing is more sugary,whereas frosting is thicker and can be buttercream or cream cheese etc. 	b	2	y	y	y	y	n	y	n	n	y	n
178	f	white	20	Pflugerville, TX	Austin, TX	l	2 (s,c)	z (p) 	Only says "sub" in reference to Subway,but will use "po'boy" for a specific Cajun sandwich 	p	w	i		b	d	y	y	y	n	n	y	n	n	y	n
179	f	asian	19	Norwood,pA	Philadelphia	2	s	2 (h,g)	A grinder is hot and a hoagie is cold	h	w	i		b	2	n	n	y	y	n	n	y	n	n	n
180	f	white	20	Long Island, NY	New York City	l	c	2 (r,h)	Uses hero in New York,hoagie in Philly	r	w	2	no	b	d	y	n	y	y	n	y	n	n	n	n
181	f	white	19	Benicia,cA	San Francisco,cA	f	s	o		o	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
182	f	asian	19	Dallas, TX	Dallas, TX	2	s	s		s	w	2	icing is colorful,frosting is white	b	d	y	y	y	y	n	n	n	n	y	n
183	f	white	19	Swarthmore,pA	Philadelphia	2	s	z (r,h)	no	h	w	2	no	b	d	n	y	y	y	n	n	n	n	y	n
184	f	asian	18	Philadelphia	Philadelphia	f	s	h	no	h	w	2	no	b	d	n	n	y	y	n	n	n	n	n	n
185	m	white	18	Prospect Park,pA	Philadelphia	2	s	z (h,g)	A grinder is a hot oven baked sandwich, a hoagie is made of cold cuts.	h	w	f		b	d	y	y	y	y	n	n	y	n	y	n
186	f	white	20	Prospect Park,pA	Philadelphia	l	s	h		h	w	i		b	d	y	y	y	y	n	y	n	y	y	n
187	m	white	19	Cochranville,pA	Philadelphia	l	s	z (h)	Hoagies are always cold	z (h)	w	i		b	d	n	n	y	y	n	n	n	n	y	n
188	m	black	20	Pittsburgh,pA	Pittsburgh	2	s	s		h	w	i		b	d	y	y	y	y	y	y	n	n	y	n
189	m	white	19	Sioux Falls,south Dakota	Minneapolis, MN	l	p	s		s	d	f		b	s	y	y	n	y	n	y	n	n	y	n
190	f	bi-racial 	19	Nashville, TN	Nashville, TN	l	f	s		s	w	i		b	d	y	y	y	y	y	y	n	n	y	n
191	m	white	19	Canton, MA	Boston, MA	f	s	s		s	w	f		b	d	y	n	y	n	n	y	n	n	n	n
192	m	white	19	Moorestown, NJ	Philadelphia	f	s	s		h	w	2	use them interchangeably	b	d	n	n	y	y	n	n	n	n	n	n
193	m	Indian	19	Elton	Philadelphia	l	s	h		h	w	2	no	b	d	n	y	n	y	n	y	n	n	y	n
194	m	white	19	Overland Park	Kansas City	l	s	z (h)	no	s	w	i		b	d	n	y	y	y	n	n	n	y	y	n
195	m	indian	19	Los Altos	San Francisco	f	s	none		o (sandwich)	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
196	m	white	19	Roslyn	New York	2	s	z (h,r)	no	s	w	2	no	2	d	n	n	y	y	n	n	n	n	n	n
